Compensation,Post time,Description,Post Id,Title,URL,Address,Employment Type
120,,"
        
Cozy unfurnished room in shared flat. Roommates share PG&E, Water, and Internet. Room can also come with a bed, dresser, night stand, chair, and TV w/stand for a slightly higher price ($1450). Includes closet. Close to Golden Gate Park, Divisadero, and major bus lines. Furniture not picture. Private viewing available upon request.    ",post id: 6152286257,Unfurnished room in NOPA,https://sfbay.craigslist.org/sfc/roo/6152286257.html,alamo square / nopa,
,,"
        
Beautiful big master bedroom with separate bathroom for short term lease. it is located on Montery BLVD, public transportation is super convenient. 

Monthly rent is: $1500 [ for 1 person]  

This is for short term leasing only, no longer for more than three months. No friend stay overnight, no parties. 

Utilities included [ water, PG&E, internet] 

    ",post id: 6176610176,Beautiful BIG MASTER ROOM for short term lease [ No longer than 3 M],https://sfbay.craigslist.org/sfc/roo/6176610176.html,Sunny side,
,,"
        
Top floor apartment at 21st. Avenue and Irving Street, San Francisco Sunset Neighborhood has (1) Bedroom available for (1) person only. Currently there are (3) male roommates: 30s, working full-time living in the apartment.

• Available Now for Immediate Move-In
• Monthly Rent: $1,050.00/per month / Security Deposit: $1,000.00
• Lease Term: (6) Months Lease; No Short-Term Leases. 
• Utilities: (electricity / water / garbage) Paid for and shared with other roommates. Cable TV/Internet paid for by tenant.
• NO smoking / NO illegal drug usage / NO overnight guests or live-in family/friends / NO short-term rentals (ie. AirBnB) / NO pets please.


ROOM & APARTMENT DETAILS

• Private / Unfurnished Bedroom Room (size: 12'x14') with closet space, carpet flooring, and large windows for natural lighting.
• (2) Full Shared Bathrooms.
• Large Kitchen with lots of cabinet space, gas stove, refrigerator, and space for dinning.
• Spacious Shared Living Room.
• No washer/dryer available but, a laundromat is across the street.
• Street Parking; No garage or parking space.
 

PUBLIC TRANSPORTATION / COMMUTER OPTIONS

• N Judah/N-Judah Express to Downtown or UCSF,  Buses: 7 and 7-Express to Downtown / USF, 28 and 29 to SFSU.
• Apple/Google/Yahoo Tech Shuttle Bus Stop is two blocks away for the Sunset Neighborhood.
• Easy access to 19th Ave/Park Presidio to 280 Highway

NEIGHBORHOOD

• In a great walkable neighborhood on Irving St. with the following outside your doorstep: variety of restaurants, grocery stores, bakeries/coffee shops, banks, laundromats, public library, gas stations/car wash. 
• One block from Golden Gate Park and a short bike ride or bus/drive to Ocean Beach.

To View Room EMAIL / REPLY BACK:

• Full Name / Phone Number / Email Address
• Please tell me a little about yourself (work/school/hobbies). Facebook / LinkedIn profiles if available.

Please provide following at time of viewing appointment:
• Current Credit Report with credit score and copy of Photo I.D.
• (2) Current Pay Stubs and Bank Statements.    ",post id: 6173353386,Available Now: Room at 21st Ave/Irving St near MUNI and GGPark,https://sfbay.craigslist.org/sfc/roo/6173353386.html,sunset / parkside,
,,"
        
Buddy's House is the most successful network of Sober Living homes in Northern California. Serving men, women and families with children in the Yuba-Sutter Community since 2004. $695 mo. Includes Rent, food, and utilities. On site Laundry, Cable T.V./wifi, and gym access available. Call our office at 
 
 Rooms AVAILABLE NOW! No deposit required.    ",post id: 6176615941,$495-$695 INCLUDES FOOD/UTIL - SOBER LIVING (Yuba City),https://sfbay.craigslist.org/sfc/roo/6176615941.html,Yuba City,
800,,"
        
1 Bedroom available in a shared 2 bedroom apartment next to Dolores Park starting July 1 for the month. 
 Amazing location.  I will be in Portland most of the month, so you will have the apartment to yourself most of the time. 




This is a temporary room for someone who is working full time and looking for permanent housing. 

It's a great location in the heart of the Mission Dolores neighborhood with the Muni on the same block. 

You will have the place mostly to yourself. I will use the 2nd bedroom occasionally when I have work in the city. 

It's an easy going apartment where I have hosted Airbnb guests for some time. 
I am looking for a temp situation for the right person for the month of July. 

I have 170 positive reviews which I can share and I'd also like to check your references. 

If you need a parking space, there is one available in the garage for $100/mo    ",post id: 6176616366,Furnished Room in the Mission - 1 mos.  Shared 2 bdrm apt. DoloresPark,https://sfbay.craigslist.org/sfc/roo/6176616366.html,mission district,
Compensation,Post time,Description,Post Id,Title,URL,Address,Employment Type
120,,"
        
Cozy unfurnished room in shared flat. Roommates share PG&E, Water, and Internet. Room can also come with a bed, dresser, night stand, chair, and TV w/stand for a slightly higher price ($1450). Includes closet. Close to Golden Gate Park, Divisadero, and major bus lines. Furniture not picture. Private viewing available upon request.    ",post id: 6152286257,Unfurnished room in NOPA,https://sfbay.craigslist.org/sfc/roo/6152286257.html,alamo square / nopa,
,,"
        
Super cozy bedroom with a shared bathroom in a well maintained 4 bed/ 4 bath apartment! Perfect for someone who wants to stay in SF and not spend a fortune. Wifi, Sheets, kitchen basic necessities, we have all you need, and the only thing you need to bring is your personal baggage to move in!!! We are close to MUNI, easy for Lyft/Uber, and walking friendly!

This bedroom is with one queen bed & furnishing, located on Clement and 16th Ave, public transportation is highly recommended, please check out nextmuni.com to plan muni routes throughout the city.

Please call or text to inquire.
Thank you!

$1600 per month
$1600 deposit    ",post id: 6176609497,private room with private bath (month to month),https://sfbay.craigslist.org/sfc/roo/6176609497.html,inner richmond,
,,"
        
We have a huge room in an amazing house opening up on July 1st! We prefer a male roommate just to keep the balance of two guys and two gals.

A bit about the house: Our house is huge 4 bedroom/2bathrooms (technically three bathrooms, one is in the garage and we never really use it but if you'd like to clean it up a bit and claim it- it's yours!), three stories with a washer/dryer, two garages, spare room, spacious living room, spacious kitchen, backyard (with a brick stove), side yard, endless free street parking (street sweeping only happens two mornings a month) and mellow, quiet neighbors- there's a lot to love about this place that's for sure!

The Neighborhood: We love our location because it's far enough from the noise (you can hear crickets in our backyard), but close enough to walk to down to Irving St (right down the hill) which is filled with tons of great eateries, cafes, trains to downtown, golden gate park, some little bars, and Andronicos. But our favorite part of the neighborhood is the amazing little parks and look outs that are about a 5-10 minute walk up our hill that have great views, tennis courts and fun paths to walk.

About us: We are 3 mid-late twenties (2 girls one guy) who have lived in the house for 5 years. We're all very close friends and have been roommates for several years. Our house style is casual, clean, welcoming, worldly, and very homey :) We all went to college in SF and kind of fell in love with our house and stayed. We are all outgoing, goofy, love meeting new people, adventuring to new places and like to do spontaneous things like go play soccer at night in the park, go rock climbing, have a little bbq in the backyard, travel and meet people from all over the world.
G- from Brazil does freelance music composing and works from home, loves travling and the outdoors, is always cooking delicious brazilian and italian food in our kitchen and will sometimes give you some if you're lucky :)
V- (f), Is a yoga instructor and interested in documentary film and travel, she is always up for an adventure and sometimes will lead a yoga class in our living room!
H- (f), is busy working loong hours in film production so is never around during the week and goes to bed super early, she loves travel, dance, art, singing and being outside.    ",post id: 6176545588,Looking for a Awesome Male Roommate in a Great House,https://sfbay.craigslist.org/sfc/roo/6176545588.html,inner sunset / UCSF,
,,"
        
Beautiful big master bedroom with separate bathroom for short term lease. it is located on Montery BLVD, public transportation is super convenient. 

Monthly rent is: $1500 [ for 1 person]  

This is for short term leasing only, no longer for more than three months. No friend stay overnight, no parties. 

Utilities included [ water, PG&E, internet] 

    ",post id: 6176610176,Beautiful BIG MASTER ROOM for short term lease [ No longer than 3 M],https://sfbay.craigslist.org/sfc/roo/6176610176.html,Sunny side,
Compensation,Post time,Description,Post Id,Title,URL,Address,Employment Type
120,,"
        
Cozy unfurnished room in shared flat. Roommates share PG&E, Water, and Internet. Room can also come with a bed, dresser, night stand, chair, and TV w/stand for a slightly higher price ($1450). Includes closet. Close to Golden Gate Park, Divisadero, and major bus lines. Furniture not picture. Private viewing available upon request.    ",post id: 6152286257,Unfurnished room in NOPA,https://sfbay.craigslist.org/sfc/roo/6152286257.html,alamo square / nopa,
,,"
        
Beautiful big master bedroom with separate bathroom for short term lease. it is located on Montery BLVD, public transportation is super convenient. 

Monthly rent is: $1500 [ for 1 person]  

This is for short term leasing only, no longer for more than three months. No friend stay overnight, no parties. 

Utilities included [ water, PG&E, internet] 

    ",post id: 6176610176,Beautiful BIG MASTER ROOM for short term lease [ No longer than 3 M],https://sfbay.craigslist.org/sfc/roo/6176610176.html,Sunny side,
,,"
        
Top floor apartment at 21st. Avenue and Irving Street, San Francisco Sunset Neighborhood has (1) Bedroom available for (1) person only. Currently there are (3) male roommates: 30s, working full-time living in the apartment.

• Available Now for Immediate Move-In
• Monthly Rent: $1,050.00/per month / Security Deposit: $1,000.00
• Lease Term: (6) Months Lease; No Short-Term Leases. 
• Utilities: (electricity / water / garbage) Paid for and shared with other roommates. Cable TV/Internet paid for by tenant.
• NO smoking / NO illegal drug usage / NO overnight guests or live-in family/friends / NO short-term rentals (ie. AirBnB) / NO pets please.


ROOM & APARTMENT DETAILS

• Private / Unfurnished Bedroom Room (size: 12'x14') with closet space, carpet flooring, and large windows for natural lighting.
• (2) Full Shared Bathrooms.
• Large Kitchen with lots of cabinet space, gas stove, refrigerator, and space for dinning.
• Spacious Shared Living Room.
• No washer/dryer available but, a laundromat is across the street.
• Street Parking; No garage or parking space.
 

PUBLIC TRANSPORTATION / COMMUTER OPTIONS

• N Judah/N-Judah Express to Downtown or UCSF,  Buses: 7 and 7-Express to Downtown / USF, 28 and 29 to SFSU.
• Apple/Google/Yahoo Tech Shuttle Bus Stop is two blocks away for the Sunset Neighborhood.
• Easy access to 19th Ave/Park Presidio to 280 Highway

NEIGHBORHOOD

• In a great walkable neighborhood on Irving St. with the following outside your doorstep: variety of restaurants, grocery stores, bakeries/coffee shops, banks, laundromats, public library, gas stations/car wash. 
• One block from Golden Gate Park and a short bike ride or bus/drive to Ocean Beach.

To View Room EMAIL / REPLY BACK:

• Full Name / Phone Number / Email Address
• Please tell me a little about yourself (work/school/hobbies). Facebook / LinkedIn profiles if available.

Please provide following at time of viewing appointment:
• Current Credit Report with credit score and copy of Photo I.D.
• (2) Current Pay Stubs and Bank Statements.    ",post id: 6173353386,Available Now: Room at 21st Ave/Irving St near MUNI and GGPark,https://sfbay.craigslist.org/sfc/roo/6173353386.html,sunset / parkside,
,,"
        
Buddy's House is the most successful network of Sober Living homes in Northern California. Serving men, women and families with children in the Yuba-Sutter Community since 2004. $695 mo. Includes Rent, food, and utilities. On site Laundry, Cable T.V./wifi, and gym access available. Call our office at 
 
 Rooms AVAILABLE NOW! No deposit required.    ",post id: 6176615941,$495-$695 INCLUDES FOOD/UTIL - SOBER LIVING (Yuba City),https://sfbay.craigslist.org/sfc/roo/6176615941.html,Yuba City,
800,,"
        
1 Bedroom available in a shared 2 bedroom apartment next to Dolores Park starting July 1 for the month. 
 Amazing location.  I will be in Portland most of the month, so you will have the apartment to yourself most of the time. 




This is a temporary room for someone who is working full time and looking for permanent housing. 

It's a great location in the heart of the Mission Dolores neighborhood with the Muni on the same block. 

You will have the place mostly to yourself. I will use the 2nd bedroom occasionally when I have work in the city. 

It's an easy going apartment where I have hosted Airbnb guests for some time. 
I am looking for a temp situation for the right person for the month of July. 

I have 170 positive reviews which I can share and I'd also like to check your references. 

If you need a parking space, there is one available in the garage for $100/mo    ",post id: 6176616366,Furnished Room in the Mission - 1 mos.  Shared 2 bdrm apt. DoloresPark,https://sfbay.craigslist.org/sfc/roo/6176616366.html,mission district,
