URL,Address,Title
https://sfbay.craigslist.org/sfc/roo/6134867574.html,nob hill,Need roommate to share remodeled 2BR in Nob Hill
https://sfbay.craigslist.org/sfc/roo/6175748494.html,glen park,big room in a two bed room flat
https://sfbay.craigslist.org/sfc/roo/6159649527.html,potrero hill,Roommate need to share Remodeled 2BR/1BA in Potrero Hill
https://sfbay.craigslist.org/sfc/roo/6175721316.html,north beach / telegraph hill,Room in a 3Br/1Ba in the Heart of North Beach
https://sfbay.craigslist.org/sfc/roo/6175733374.html,ingleside / SFSU / CCSF,big room in a two bed room flat
https://sfbay.craigslist.org/sfc/roo/6175728592.html,inner sunset / UCSF,"Large room, 7th & Irving, 3 blks to UCSF"
https://sfbay.craigslist.org/sfc/roo/6175725492.html,excelsior / outer mission,big room in a two bed room flat
https://sfbay.craigslist.org/sfc/roo/6175720629.html,russian hill,Bedroom available in Russian Hill
https://sfbay.craigslist.org/sfc/roo/6175720155.html,richmond / seacliff,"Large, Clean, and Sunny Room with Views of the Pacific Ocean"
https://sfbay.craigslist.org/sfc/roo/6175719435.html,north beach / telegraph hill,X-Large Master bedroom in a 3-bedroom flat
https://sfbay.craigslist.org/sfc/roo/6175718052.html,cole valley / ashbury hts,1 bedroom for rent in 3 bedroom Victorian style Cole Valley Apartment!
https://sfbay.craigslist.org/sfc/roo/6175717380.html,inner richmond,"Beautiful furnished bedroom for rent ; Close to USF,CPMC,UCSF"
https://sfbay.craigslist.org/sfc/roo/6175716691.html,inner richmond,Fully furnished bedroom for rent ; hard-wood floor...
https://sfbay.craigslist.org/sfc/roo/6155745539.html,north beach / telegraph hill,Looking for Roommates for a high-rise luxury apt building
https://sfbay.craigslist.org/sfc/roo/6175712756.html,excelsior / outer mission,Nice room in newer house with parking
https://sfbay.craigslist.org/sfc/roo/6175709281.html,russian hill,$1400 Room Open in Nice Apt and great Location
https://sfbay.craigslist.org/sfc/roo/6155015379.html,north beach / telegraph hill,Single Room Offered for rent in Downtown SF!!
https://sfbay.craigslist.org/sfc/roo/6158775315.html,Trenton,Leave Substance Abuse Behind with Addiction Recovery Treatment
https://sfbay.craigslist.org/sfc/roo/6158039380.html,north beach / telegraph hill,AMAZING converted living room/bedroom open July 7th! Will not last!
https://sfbay.craigslist.org/sfc/roo/6160854987.html,inner richmond,$1600 - 1 Bedroom available in 1200ft2 3bd flat
https://sfbay.craigslist.org/sfc/roo/6148385683.html,downtown / civic / van ness,Roommate wanted to fill spot in a new apartment building
https://sfbay.craigslist.org/sfc/roo/6175686382.html,inner sunset / UCSF,$970 RoommateWantedConvenient UCSFPeriphery For GradStudent/Scientist
https://sfbay.craigslist.org/sfc/roo/6175551976.html,ingleside / SFSU / CCSF,Big Furnished Room for Rent
https://sfbay.craigslist.org/sfc/roo/6175689668.html,russian hill,$1100 Sunny Bedroom in lovely Russian Hill Apt. Avail. July 10th
https://sfbay.craigslist.org/sfc/roo/6169099577.html,SOMA / south beach,Epic Room for rent in StartUp-Landia
https://sfbay.craigslist.org/sfc/roo/6172181155.html,sunset / parkside,Master Bedroom available
https://sfbay.craigslist.org/sfc/roo/6166438154.html,north beach / telegraph hill,Beautiful Bedroom in Modern North Beach Apartment
https://sfbay.craigslist.org/sfc/roo/6175677004.html,pacific heights,Looking for a subletter in a 2BR/2BA in Pac heights
